  0.13329393E+02  0.19766111E+01  0.52856644E+01
  0.14088137E+02  0.21132970E+01  0.49784230E+01
  0.14886571E+02  0.22349334E+01  0.46922400E+01
  0.15712782E+02  0.23353841E+01  0.44441545E+01
  0.16549672E+02  0.24075825E+01  0.42437849E+01
  0.17375038E+02  0.24438290E+01  0.40932740E+01
  0.18162140E+02  0.24361993E+01  0.39871656E+01
  0.18880817E+02  0.23770380E+01  0.39117807E+01
  0.19499176E+02  0.22594987E+01  0.38439335E+01
  0.19985775E+02  0.20780904E+01  0.37493045E+01
  0.20312150E+02  0.18291883E+01  0.35813368E+01
  0.20455409E+02  0.15114625E+01  0.32818931E+01
  0.20400547E+02  0.11261802E+01  0.27848532E+01
  0.20142110E+02  0.67733248E+00  0.20231938E+01
  0.19684912E+02  0.17154534E+00  0.93899041E+00
  0.19043615E+02 -0.38224386E+00 -0.50539901E+00
  0.18241240E+02 -0.97332556E+00 -0.23174632E+01
  0.17306853E+02 -0.15899085E+01 -0.44684215E+01
  0.16272838E+02 -0.22198589E+01 -0.68924323E+01
  0.15172204E+02 -0.28513710E+01 -0.94913466E+01
  0.14036313E+02 -0.34734663E+01 -0.12143922E+02
  0.12893280E+02 -0.40762604E+01 -0.14717589E+02
  0.11767099E+02 -0.46509870E+01 -0.17080674E+02
  0.10677444E+02 -0.51898174E+01 -0.19113338E+02
  0.96399743E+01 -0.56855458E+01 -0.20716112E+02
  0.86669577E+01 -0.61312196E+01 -0.21815575E+02
  0.77680339E+01 -0.65197938E+01 -0.22367218E+02
  0.69509795E+01 -0.68438646E+01 -0.22355855E+02
  0.62223832E+01 -0.70955204E+01 -0.21794071E+02
  0.55881811E+01 -0.72663255E+01 -0.20719195E+02
  0.50540376E+01 -0.73474324E+01 -0.19189238E+02
  0.46255732E+01 -0.73298060E+01 -0.17278171E+02
  0.43084580E+01 -0.72045368E+01 -0.15070831E+02
  0.41083887E+01 -0.69632092E+01 -0.12657743E+02
  0.40309730E+01 -0.65982949E+01 -0.10130086E+02
  0.40815418E+01 -0.61035369E+01 -0.75750550E+01
  0.42649114E+01 -0.54742921E+01 -0.50718334E+01
  0.45851207E+01 -0.47078062E+01 -0.26883830E+01
